,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
30,Prince Rupert,CA,1614950876,54.3161,-130.3201,41.0,81,40,8.05
31,Codrington,AU,1614950876,-38.2667,141.9667,56.28,70,100,12.97
32,Hermanus,ZA,1614950876,-34.4187,19.2345,84.0,46,0,5.01
33,Teleneşti,MD,1614950876,47.4997,28.3656,57.2,38,0,5.75
34,Kiama,AU,1614950876,-34.6833,150.8667,66.0,74,96,1.01
35,Sūsangerd,IR,1614950876,31.5608,48.1831,71.6,35,0,6.91
36,Acaraú,BR,1614950877,-2.8856,-40.12,85.46,64,53,13.06
37,Ekhabi,RU,1614950877,53.5102,142.9671,-21.44,87,0,11.97
38,Praia da Vitória,PT,1614950652,38.7333,-27.0667,61.0,77,20,3.94
39,Northam,GB,1614950877,51.0333,-4.2167,46.99,70,24,8.99
40,Tiznit Province,MA,1614950877,29.5833,-9.5,62.55,52,0,11.83
41,Busselton,AU,1614950877,-33.65,115.3333,69.01,93,5,6.69
42,Tiksi,RU,1614950877,71.6872,128.8694,-23.87,98,83,4.61
43,Cape Town,ZA,1614950763,-33.9258,18.4232,78.8,41,0,18.41
44,Jamestown,US,1614950654,42.097,-79.2353,19.99,77,1,15.99
45,Yangi Marg`ilon,UZ,1614950877,40.4272,71.7189,51.8,43,40,6.91
46,Pangnirtung,CA,1614950877,66.1451,-65.7125,6.8,56,75,12.66
47,Coquimbo,CL,1614950665,-29.9533,-71.3436,62.6,94,90,3.44
48,Medieşu Aurit,RO,1614950877,47.7833,23.15,50.0,87,75,13.8
49,Leningradskiy,RU,1614950877,69.3833,178.4167,-3.21,97,100,10.2
50,Sarh,TD,1614950877,9.1429,18.3923,104.0,8,0,6.91
51,Guerrero Negro,MX,1614950878,27.9769,-114.0611,53.4,76,0,2.26
52,Port Alfred,ZA,1614950856,-33.5906,26.891,75.0,80,12,3.0
53,Sharjah city,AE,1614950878,25.3573,55.4033,93.2,42,0,17.27
54,Gornopravdinsk,RU,1614950878,60.05,69.9,21.34,96,100,4.16
55,Pincher Creek,CA,1614950878,49.4833,-113.952,35.6,51,1,10.36
56,Lujiang,CN,1614950878,31.2581,117.2817,51.8,93,20,6.71
57,Yārāda,IN,1614950878,17.65,83.2667,84.2,48,0,5.75
58,Westerland,DE,1614950878,54.9079,8.3033,43.0,56,0,11.5
59,Khatanga,RU,1614950878,71.9667,102.5,-23.6,84,48,9.71
60,Vostok,RU,1614950878,46.4856,135.8833,-12.6,94,93,8.68
61,Ushuaia,AR,1614950749,-54.8,-68.3,51.8,66,40,20.71
62,Hasaki,JP,1614950878,35.7333,140.8333,51.8,100,90,4.61
63,Hithadhoo,MV,1614950879,-0.6,73.0833,84.6,59,0,5.41
64,Filingué,NE,1614950879,14.3521,3.3168,100.58,6,10,12.08
65,Beringovskiy,RU,1614950879,63.05,179.3167,-11.94,94,100,2.44
66,Vaini,TO,1614950879,-21.2,-175.2,77.0,94,75,3.44
67,Port Elizabeth,ZA,1614950879,-33.918,25.5701,75.2,64,20,10.36
68,Kaitangata,NZ,1614950880,-46.2817,169.8464,54.0,85,66,3.74
69,Chokurdakh,RU,1614950880,70.6333,147.9167,-7.17,95,100,20.78
70,Campbell River,CA,1614950880,50.0163,-125.2446,45.0,95,100,8.01
71,Altar,MX,1614950880,30.7,-111.8167,52.12,50,17,4.92
72,Alofi,NU,1614950880,-19.0595,-169.9187,75.2,100,100,2.3
73,Qaqortoq,GL,1614950880,60.7167,-46.0333,32.0,100,75,2.3
74,Dunedin,NZ,1614950881,-45.8742,170.5036,57.99,74,99,1.01
75,Norman Wells,CA,1614950881,65.282,-126.8329,-16.6,76,75,3.87
76,Kapaa,US,1614950881,22.0752,-159.319,69.8,78,90,24.16
77,Dūngarpur,IN,1614950881,23.8333,73.7167,89.13,9,11,6.98
78,Ambunti,PG,1614950881,-4.2365,142.8448,74.61,97,100,1.68
79,Ponta do Sol,PT,1614950881,32.6667,-17.1,64.99,61,51,3.0
80,Torbay,CA,1614950882,47.6666,-52.7314,35.01,80,90,14.97
81,Makakilo City,US,1614950882,21.3469,-158.0858,66.2,82,90,8.05
82,Hilo,US,1614950882,19.7297,-155.09,66.2,82,90,6.91
83,Faanui,PF,1614950882,-16.4833,-151.75,82.94,76,100,15.59
84,Ancud,CL,1614950882,-41.8697,-73.8203,66.99,48,0,2.3
85,Ucluelet,CA,1614950730,48.9329,-125.5528,48.0,89,100,8.99
86,Jieshou,CN,1614950882,33.2634,115.3611,53.46,85,100,5.12
87,Kahului,US,1614950882,20.8947,-156.47,66.99,77,1,6.91
88,George Town,MY,1614950754,5.4112,100.3354,86.0,70,20,9.22
89,Saint Paul Harbor,US,1614950882,57.79,-152.4072,33.8,75,90,6.91
90,Thompson,CA,1614950883,55.7435,-97.8558,14.0,92,90,5.75
91,Vao,NC,1614950883,-22.6667,167.4833,74.71,86,100,10.42
92,New Norfolk,AU,1614950883,-42.7826,147.0587,53.6,54,90,14.97
93,Belyy Yar,RU,1614950883,53.6039,91.3903,30.2,64,0,15.66
94,Yaviza,PA,1614950883,8.1537,-77.6931,75.24,83,19,0.07
95,Tasiilaq,GL,1614950883,65.6145,-37.6368,33.8,93,75,5.75
96,Yellowknife,CA,1614950883,62.456,-114.3525,3.2,78,20,18.41
97,Saint-François,FR,1614950884,46.4154,3.9054,48.2,76,90,9.22
98,Nanortalik,GL,1614950884,60.1432,-45.2371,32.86,86,15,4.72
99,Tautira,PF,1614950884,-17.7333,-149.15,78.01,94,40,14.97
100,Saurimo,AO,1614950884,-9.6608,20.3916,86.0,48,40,5.75
101,Esperance,AU,1614950884,-33.8667,121.9,68.0,88,90,3.18
102,San Patricio,US,1614950884,28.017,-97.5169,64.99,94,90,3.44
103,Lüderitz,NA,1614950884,-26.6481,15.1594,78.42,48,0,17.13
104,Arraial do Cabo,BR,1614950884,-22.9661,-42.0278,91.4,66,0,5.75
105,Katherine,AU,1614950884,-14.4667,132.2667,75.2,83,75,13.8
106,Ribeira Grande,PT,1614950884,38.5167,-28.7,60.8,72,40,8.05
107,Lyuban',BY,1614950884,52.7985,28.0048,32.54,67,98,10.09
108,Split,HR,1614950595,43.5089,16.4392,57.2,62,20,6.91
109,Kloulklubed,PW,1614950884,7.0419,134.2556,78.8,83,75,5.75
110,Hobe Sound,US,1614950885,27.0595,-80.1364,64.0,72,20,8.05
111,Chapais,CA,1614950885,49.7834,-74.8492,-4.0,77,90,10.36
112,Qaanaaq,GL,1614950885,77.484,-69.3632,-22.04,51,0,5.79
113,Sitka,US,1614950885,57.0531,-135.33,42.8,61,90,5.75
114,Chui,UY,1614950885,-33.6971,-53.4616,74.46,75,0,12.97
115,Bonavista,CA,1614950885,48.6499,-53.1147,35.01,69,43,9.22
116,Castro,BR,1614950885,-24.7911,-50.0119,67.39,93,100,11.1
117,Scarborough,GB,1614950886,54.2797,-0.4044,43.0,71,99,1.99
118,Yulara,AU,1614950886,-25.2406,130.9889,84.2,24,1,6.91
119,Hambantota,LK,1614950886,6.1241,81.1185,82.4,78,75,4.61
120,Cervo,ES,1614950886,43.6702,-7.4101,55.99,84,98,3.0
121,Labuhan,ID,1614950886,-6.8844,112.2051,79.99,83,100,5.12
122,Valdivia,CL,1614950886,-39.8142,-73.2459,62.6,67,0,4.61
123,Marsá Maţrūḩ,EG,1614950886,31.3525,27.2453,66.2,48,0,10.36
124,Araouane,ML,1614950887,18.9048,-3.5265,89.47,9,0,13.27
125,Santiago,CL,1614950603,-33.4569,-70.6483,73.99,72,0,3.44
126,Narsaq,GL,1614950887,60.9167,-46.05,32.0,100,75,2.3
127,Tezu,IN,1614950887,27.9167,96.1667,66.04,64,91,8.21
128,Mardin,TR,1614950887,37.3131,40.7436,66.2,18,20,4.61
129,Ust'-Kut,RU,1614950887,56.7938,105.7672,11.93,93,100,3.4
130,Kismayo,SO,1614950887,-0.3582,42.5454,83.3,67,0,20.04
131,Antalaha,MG,1614950887,-14.9003,50.2788,82.83,81,56,7.49
132,Bengkulu,ID,1614950887,-3.8004,102.2655,79.83,87,100,6.73
133,Bambous Virieux,MU,1614950888,-20.3428,57.7575,84.0,78,75,5.75
134,Yarmouth,US,1614950888,41.7057,-70.2286,28.0,43,20,6.91
135,Tuktoyaktuk,CA,1614950888,69.4541,-133.0374,-9.65,93,0,13.87
136,Rayong,TH,1614950888,12.8333,101.4333,82.0,78,4,7.76
137,Hobart,AU,1614950690,-42.8794,147.3294,53.6,54,90,14.97
138,Rāmkola,IN,1614950888,26.9042,83.8411,77.58,16,0,8.05
139,Coruripe,BR,1614950888,-10.1256,-36.1756,83.98,61,19,9.51
140,Sistranda,NO,1614950888,63.7256,8.834,35.6,80,40,19.57
141,Kīhei,US,1614950889,20.785,-156.4656,66.99,77,1,6.91
142,Bayanday,RU,1614950889,53.0661,105.5139,-0.42,90,99,4.41
143,Pāli,IN,1614950889,25.7667,73.3333,82.99,11,0,6.71
144,Ahipara,NZ,1614950889,-35.1667,173.1667,59.56,81,0,5.14
145,Longkou,CN,1614950889,37.6508,120.3286,33.57,73,100,27.94
146,São Filipe,CV,1614950889,14.8961,-24.4956,72.48,69,27,8.46
147,Freeport,US,1614950837,40.6576,-73.5832,26.01,39,1,20.71
148,Filoti,GR,1614950890,37.05,25.5,64.0,48,20,11.5
149,Barrow,US,1614950788,71.2906,-156.7887,-13.0,64,90,16.11
150,Salalah,OM,1614950890,17.0151,54.0924,87.8,35,0,3.44
151,Lewistown,US,1614950890,40.5992,-77.5714,27.0,54,1,12.66
152,Paphos,CY,1614950593,34.7667,32.4167,64.4,59,20,10.36
153,Saint-Leu,RE,1614950890,-21.15,55.2833,86.0,62,40,12.66
154,Perry Hall,US,1614950890,39.4126,-76.4636,30.2,43,1,19.57
155,Ostrovnoy,RU,1614950890,68.0531,39.5131,13.77,88,100,6.87
156,Quepos,CR,1614950891,9.4236,-84.1652,69.8,68,20,12.66
157,Airai,TL,1614950891,-8.9266,125.4092,61.63,96,66,1.14
158,Waipawa,NZ,1614950891,-41.4122,175.5153,64.4,72,38,23.02
159,Barcelona,ES,1614950779,41.3888,2.159,60.8,77,20,6.91
160,Lora del Río,ES,1614950891,37.659,-5.5275,55.99,88,40,8.05
161,Nantucket,US,1614950838,41.2835,-70.0995,26.6,63,1,10.36
162,Ruidoso,US,1614950891,33.3317,-105.673,36.0,51,1,6.91
163,Puerto Santander,CO,1614950891,8.3636,-72.4063,73.4,94,40,4.61
164,Barcelos,PT,1614950891,41.5388,-8.6151,66.99,52,0,5.75
165,Mar del Plata,AR,1614950892,-38.0023,-57.5575,64.0,67,90,14.97
166,Ginir,ET,1614950892,7.1333,40.7,72.64,38,100,12.71
167,Vanimo,PG,1614950892,-2.6741,141.3028,79.14,84,100,8.72
168,Ilulissat,GL,1614950892,69.2167,-51.1,17.6,73,20,8.05
169,Srandakan,ID,1614950892,-7.9386,110.2506,79.92,80,82,2.46
170,Maple Creek,CA,1614950893,49.9168,-109.4848,41.0,52,87,13.8
171,Ishigaki,JP,1614950893,24.3448,124.1572,70.81,85,73,16.51
172,San Quintín,MX,1614950893,30.4833,-115.95,43.0,2,0,4.0
173,Burriana,ES,1614950893,39.889,-0.085,60.01,58,36,3.0
174,Huari,PE,1614950893,-9.3333,-77.2333,43.45,80,99,3.0
175,Mount Isa,AU,1614950895,-20.7333,139.5,71.6,24,0,8.05
176,Touros,BR,1614950895,-5.1989,-35.4608,84.2,70,75,11.5
177,Bredasdorp,ZA,1614950895,-34.5322,20.0403,80.6,44,0,13.8
178,Nikolskoye,RU,1614950895,59.7035,30.7861,25.0,58,75,15.66
179,Niquero,CU,1614950895,20.0431,-77.5828,74.28,83,59,11.14
180,Katsuura,JP,1614950895,35.1333,140.3,55.4,94,75,6.91
181,Severo-Kuril'sk,RU,1614950896,50.6789,156.125,31.86,97,97,14.07
182,Pontianak,ID,1614950791,-0.0333,109.3333,78.8,94,75,5.1
183,Hong Kong,HK,1614950701,22.2855,114.1577,71.01,91,93,1.01
184,Jinxiang,CN,1614950896,27.4327,120.6062,54.41,83,83,4.65
185,Boa Vista,BR,1614950708,2.8197,-60.6733,80.6,69,75,16.11
186,Danané,CI,1614950896,7.2596,-8.155,83.57,65,100,4.45
187,Vallenar,CL,1614950896,-28.5708,-70.7581,67.35,73,50,3.29
188,Kuandian,CN,1614950896,40.7286,124.7847,21.0,58,71,10.0
189,City of San Pedro,PH,1614950896,14.35,121.0167,82.4,69,20,4.61
190,Mapiri,BO,1614950896,-15.25,-68.1667,68.86,99,100,0.81
191,Oktyabr'skiy,RU,1614950896,54.4815,53.471,23.18,93,100,5.39
192,Makkah al Mukarramah,SA,1614950897,21.4267,39.8261,87.57,26,0,8.52
193,Changchun,CN,1614950897,43.88,125.3228,5.0,66,0,2.24
194,Bibiani,GH,1614950897,6.4635,-2.3194,89.73,54,70,5.35
195,Te Anau,NZ,1614950897,-45.4167,167.7167,44.46,92,7,3.83
196,Ust-Tsilma,RU,1614950897,65.441,52.1498,2.48,93,100,6.33
197,Bukachacha,RU,1614950897,52.9833,116.9167,-16.6,97,0,2.01
198,Egvekinot,RU,1614950897,66.3167,-179.1667,-20.87,97,98,2.64
199,Ust-Kuyga,RU,1614950897,70.0167,135.6,-20.79,96,100,4.12
200,Ahar,IR,1614950897,38.4774,47.0699,34.84,99,100,2.93
201,Dalnegorsk,RU,1614950898,44.5604,135.5701,5.27,66,6,14.7
202,East London,ZA,1614950898,-33.0153,27.9116,73.4,73,20,10.36
203,Sabang,ID,1614950898,5.8933,95.3214,83.79,70,81,1.86
204,Bad Wildbad,DE,1614950898,48.75,8.55,42.01,80,100,5.99
205,Caucaia,BR,1614950742,-3.7361,-38.6531,84.2,65,40,14.97
206,Mikuni,JP,1614950898,36.2171,136.1519,50.0,100,75,2.3
207,Iberia,US,1614950898,29.9502,-91.7507,50.0,93,1,3.44
208,Port Hardy,CA,1614950898,50.6996,-127.4199,42.8,87,90,24.16
209,Provideniya,RU,1614950898,64.3833,-173.3,7.56,96,100,11.56
210,Kodinsk,RU,1614950899,58.6881,99.1844,20.8,95,100,7.4
211,Iranshahr,IR,1614950899,27.2025,60.6848,95.0,17,0,13.8
212,Husavik,IS,1614950899,66.0449,-17.3389,39.2,65,0,23.02
213,Meulaboh,ID,1614950899,4.1363,96.1285,79.77,81,67,2.8
214,Māngrol,IN,1614950899,21.1167,70.1167,81.95,56,0,14.32
215,Dikson,RU,1614950900,73.5069,80.5464,-23.98,82,100,13.67
216,Saint-Philippe,RE,1614950900,-21.3585,55.7679,86.0,62,40,12.66
217,Santarém,BR,1614950900,-2.4431,-54.7083,82.4,83,40,8.05
218,Adrar,MR,1614950900,20.5022,-10.0711,87.96,7,0,9.28
219,Serebryansk,KZ,1614950900,49.6925,83.2892,23.0,80,40,6.71
220,Kavaratti,IN,1614950900,10.5669,72.642,83.3,54,0,0.72
221,Saint George,US,1614950819,37.1041,-113.5841,39.2,56,1,2.77
222,Coahuayana Viejo,MX,1614950900,18.7333,-103.6833,69.8,56,1,2.84
223,Guskhara,IN,1614950901,23.5,87.75,86.0,37,7,5.75
224,Wilmington,US,1614950840,34.2257,-77.9447,45.0,56,1,14.97
225,Gorom-Gorom,BF,1614950901,14.4439,-0.2361,99.16,6,0,11.74
226,Ust-Maya,RU,1614950901,60.4167,134.5333,-31.31,96,20,3.8
227,Dunblane,GB,1614950901,56.1884,-3.9642,46.99,63,59,1.01
228,Merauke,ID,1614950706,-8.4667,140.3333,81.25,83,100,11.45
229,Soyo,AO,1614950901,-6.1349,12.3689,87.8,74,75,8.05
230,Chicama,PE,1614950901,-7.8447,-79.1469,71.6,88,40,2.3
231,Longyearbyen,SJ,1614950902,78.2186,15.6401,10.4,79,90,34.52
232,Haines Junction,CA,1614950902,60.7522,-137.5108,-9.4,77,100,0.34
233,Iqaluit,CA,1614950902,63.7506,-68.5145,5.0,78,75,29.93
234,Margate,GB,1614950902,51.3813,1.3862,45.0,48,85,5.99
235,Petrykivka,UA,1614950902,48.7298,34.6351,39.2,75,75,4.47
236,College,US,1614950902,64.8569,-147.8028,5.0,77,1,6.91
237,San Matías,BO,1614950903,-16.3667,-58.4,76.48,89,94,4.54
238,Kerema,PG,1614950903,-7.9631,145.7785,77.94,85,83,5.73
239,Timmins,CA,1614950749,48.4669,-81.3331,3.2,60,75,14.97
240,Thinadhoo,MV,1614950903,0.5333,72.9333,83.95,66,37,7.2
241,Hofn,IS,1614950903,64.2539,-15.2082,37.4,87,100,5.75
242,Grand-Santi,GF,1614950903,4.25,-54.3833,81.3,75,2,4.63
243,Mogwase,ZA,1614950904,-25.185,27.2665,88.12,21,93,5.1
244,Chenzhou,CN,1614950904,25.8,113.0333,65.68,96,43,3.04
245,Tabas,IR,1614950904,33.5959,56.9244,74.44,33,61,8.19
246,Matagami,CA,1614950904,49.7502,-77.6328,-0.4,78,90,20.71
247,Cruzília,BR,1614950904,-21.8386,-44.8083,73.02,72,77,7.78
248,Santa Josefa,PH,1614950905,7.9911,126.03,72.99,96,51,3.27
249,Buraidah,SA,1614950833,26.326,43.975,69.8,35,0,13.8
250,Ghanzi,BW,1614950905,-21.5667,21.7833,87.03,26,61,8.88
251,Flinders,AU,1614950905,-34.5833,150.8552,66.0,70,92,8.95
252,Bathsheba,BB,1614950905,13.2167,-59.5167,82.4,61,40,19.57
253,Fukuechō,JP,1614950905,32.6881,128.8419,57.81,82,100,18.45
254,Ayacucho,PE,1614950905,-13.1583,-74.2239,57.2,72,90,1.14
255,Port Hedland,AU,1614950905,-20.3167,118.5667,80.6,78,22,8.05
256,Quatre Cocos,MU,1614950905,-20.2078,57.7625,84.0,78,75,5.75
257,Gorin,RU,1614950906,51.1983,136.6669,-8.84,91,99,4.79
258,Ongandjera,NA,1614950906,-17.8833,15.0667,88.52,22,0,11.54
259,Luganville,VU,1614950906,-15.5333,167.1667,77.23,86,100,5.5
260,Ikalamavony,MG,1614950906,-21.15,46.5833,69.6,92,100,3.2
261,Saint-Pierre,RE,1614950907,-21.3393,55.4781,86.0,62,40,12.66
262,Havelock,US,1614950907,34.8791,-76.9013,42.01,56,1,17.27
263,Karratha,AU,1614950907,-20.7377,116.8463,82.71,61,0,12.57
264,Vestmanna,FO,1614950907,62.1564,-7.1664,41.0,75,75,13.8
265,Cherskiy,RU,1614950907,68.75,161.3,-10.35,99,100,4.72
266,Fort Frances,CA,1614950694,48.5999,-93.4003,15.8,86,1,4.27
267,Batemans Bay,AU,1614950907,-35.7167,150.1833,60.01,65,41,3.0
268,Talnakh,RU,1614950907,69.4865,88.3972,-9.89,88,36,5.19
269,Yuli,NG,1614950908,9.6989,10.2744,103.37,7,0,8.23
270,Alta Floresta,BR,1614950908,-9.8756,-56.0861,80.6,78,0,3.44
271,São João da Barra,BR,1614950908,-21.6403,-41.0511,87.8,48,0,11.5
272,Olafsvik,IS,1614950908,64.8945,-23.7142,41.97,87,97,16.33
273,Ankazoabo,MG,1614950908,-22.2833,44.5167,79.86,79,100,3.74
274,Kawalu,ID,1614950909,-7.3817,108.2082,74.79,89,57,1.21
275,Asău,RO,1614950909,46.4333,26.4,57.99,26,100,12.64
276,Padang,ID,1614950650,-0.9492,100.3543,82.4,83,40,4.61
277,South Sioux City,US,1614950909,42.4739,-96.4136,30.99,93,1,3.44
278,Kieta,PG,1614950909,-6.2167,155.6333,79.86,87,100,5.53
279,Salé,MA,1614950909,34.0389,-6.8166,64.4,59,75,5.75
280,Itaueira,BR,1614950909,-7.6033,-43.0256,81.81,67,46,8.3
281,Donskoye,RU,1614950909,45.4552,41.9741,46.4,36,0,4.47
282,Chimbote,PE,1614950909,-9.0853,-78.5783,73.58,79,73,3.65
283,Hāgere Selam,ET,1614950910,6.4833,38.5167,63.28,43,100,3.91
284,Camaná,PE,1614950910,-16.6228,-72.7111,75.06,77,97,8.21
285,Tandur,IN,1614950910,17.2333,77.5833,85.08,11,0,2.15
286,Nemuro,JP,1614950910,43.3236,145.575,37.96,90,0,20.07
287,La Ronge,CA,1614950910,55.1001,-105.2842,28.4,74,100,9.22
288,Okaihau,NZ,1614950910,-35.3167,173.7833,59.0,92,1,3.0
289,Kulu,TR,1614950910,39.0951,33.0799,54.57,24,0,8.39
290,Garoowe,SO,1614950910,8.4054,48.4845,94.12,13,0,13.67
291,Staryy Nadym,RU,1614950911,65.6118,72.6842,12.27,95,90,4.47
292,Katobu,ID,1614950911,-4.9408,122.5276,77.13,88,100,2.21
293,Kluang,MY,1614950911,2.0251,103.3328,82.0,83,20,3.44
294,Svetlaya,RU,1614950911,46.5389,138.3297,12.63,52,99,12.35
295,Fortuna,US,1614950911,40.5982,-124.1573,55.99,60,100,5.99
296,Constitución,CL,1614950911,-35.3333,-72.4167,64.38,74,0,4.85
297,Foam Lake,CA,1614950911,51.65,-103.5343,24.8,93,99,14.97
298,Namatanai,PG,1614950911,-3.6667,152.4333,79.7,85,99,3.78
299,Yumen,CN,1614950911,40.2833,97.2,40.41,32,59,8.12
300,Açucena,BR,1614950911,-19.0731,-42.5464,80.6,65,0,9.22
301,Lebu,CL,1614950912,-37.6167,-73.65,60.42,84,1,10.02
302,Phan Thiet,VN,1614950912,10.9333,108.1,74.43,85,0,12.08
303,Mājalgaon,IN,1614950912,19.15,76.2333,89.17,11,0,3.22
304,Talakan,RU,1614950912,50.3167,130.3667,-12.96,93,14,6.46
305,Talā,EG,1614950912,30.6803,30.9429,74.86,20,0,6.13
306,Simpang,ID,1614950912,-1.2667,104.0833,76.95,89,81,2.73
307,Santa Ana,US,1614950912,33.7456,-117.8678,52.0,87,1,2.26
308,Beaverlodge,CA,1614950912,55.2166,-119.4361,15.8,92,75,5.75
309,Waddān,LY,1614950912,29.1614,16.139,83.97,8,31,15.86
310,Lorengau,PG,1614950912,-2.0226,147.2712,81.88,81,100,9.31
311,Lancaster,US,1614950706,40.2504,-76.2499,25.0,46,1,16.11
312,Saqqez,IR,1614950912,36.2499,46.2735,44.38,53,70,8.95
313,Rabo de Peixe,PT,1614950913,37.8,-25.5833,59.0,72,20,16.11
314,Kargasok,RU,1614950913,59.0556,80.8572,26.2,86,98,11.48
315,Palana,RU,1614950913,59.1167,159.9667,-16.31,96,100,2.46
316,Mareeba,AU,1614950913,-17.0,145.4333,78.8,83,90,2.53
317,Rocha,UY,1614950913,-34.4833,-54.3333,73.33,76,0,12.35
318,Enköping,SE,1614950913,59.6361,17.0777,35.6,38,0,12.66
319,Jasper,US,1614950914,37.2001,-94.3502,53.01,50,90,12.66
320,Murdochville,CA,1614950914,48.9583,-65.5006,17.6,62,0,11.5
321,Isangel,VU,1614950914,-19.55,169.2667,80.6,83,75,11.5
322,Kushima,JP,1614950914,31.4583,131.2333,62.6,82,75,14.97
323,Kaeo,NZ,1614950914,-35.1,173.7833,59.0,92,4,3.0
324,Muhoroni,KE,1614950914,-0.1541,35.1988,82.4,57,75,19.57
325,Biak,ID,1614950914,-0.9131,122.8766,78.17,78,100,7.99
326,Nelson Bay,AU,1614950915,-32.7167,152.15,70.0,73,90,17.27
327,Shingū,JP,1614950915,33.7333,135.9833,57.72,94,98,12.21
328,Andros,GR,1614950915,37.8333,24.9333,64.0,52,0,14.0
329,Buenos Aires,AR,1614950915,-34.6132,-58.3772,69.01,73,90,9.22
330,Qūchān,IR,1614950915,37.106,58.5095,55.49,55,95,16.17
331,Magadan,RU,1614950915,59.5667,150.8,-17.21,83,9,4.79
332,Sisian,AM,1614950916,39.5256,46.0251,44.6,70,75,6.91
333,Vardø,NO,1614950916,70.3705,31.1107,21.2,86,40,11.5
334,Sittwe,MM,1614950782,20.15,92.9,77.18,72,0,11.63
335,Ulagan,RU,1614950916,50.6321,87.9563,13.08,83,0,1.23
336,Sayyan,YE,1614950916,15.1718,44.3244,71.19,20,2,9.93
337,Bethel,US,1614950916,41.3712,-73.414,24.8,36,20,10.36
338,Kamenka,RU,1614950916,51.3223,42.7678,35.01,82,100,6.67
339,Novonikolayevskiy,RU,1614950916,50.9738,42.3649,35.01,82,100,7.43
340,Sri Aman,MY,1614950916,1.2376,111.4621,77.0,94,81,0.89
341,Tegul'det,RU,1614950917,57.3064,88.1667,25.29,86,100,12.5
342,Plouzané,FR,1614950917,48.3833,-4.6167,44.6,70,90,16.11
343,Finschhafen,PG,1614950917,-6.6024,147.8681,82.35,82,100,10.25
344,Dehlorān,IR,1614950917,32.6941,47.2679,65.62,44,17,14.32
345,Myanaung,MM,1614950917,18.2833,95.3167,79.68,20,0,5.84
346,Great Yarmouth,GB,1614950917,52.6083,1.7305,44.01,65,75,10.36
347,Parabel',RU,1614950917,58.6978,81.4825,27.32,90,100,14.99
348,Santa Rosa,PH,1614950790,14.3122,121.1114,82.4,69,20,4.61
349,Pālampur,IN,1614950917,32.1167,76.5333,56.48,49,12,3.09
350,Cayenne,GF,1614950917,4.9333,-52.3333,82.99,74,90,12.66
351,Königs Wusterhausen,DE,1614950918,52.3014,13.633,46.99,45,40,13.8
352,Irbeyskoye,RU,1614950918,55.6428,95.4522,25.63,88,100,5.68
353,Camacupa,AO,1614950889,-12.0167,17.4833,73.62,75,98,4.23
354,Ugento,IT,1614950918,39.9263,18.1574,60.8,82,75,10.36
355,Vila,PT,1614950918,42.0304,-8.1588,64.99,43,0,10.0
356,Lavrentiya,RU,1614950919,65.5833,-171.0,8.8,95,100,8.41
